Director,mean,count
Wilfred Jackson,7.449999999999999,2
Francis Ford Coppola,7.446153846153846,13
Luca Guadagnino,7.433333333333334,3
Steven Spielberg,7.425,28
John Ford,7.425,4
Paul Thomas Anderson,7.42,10
Kelly Fremon Craig,7.4,2
Charlie Kaufman,7.4,2
Katsuhiro Ãtomo,7.4,2
Jim Rash,7.4,2
Justin Dillon,7.4,2
Nat Faxon,7.4,2
Michael Cimino,7.4,2
Pan Nalin,7.4,2
Jaco Van Dormael,7.4,2
Jean-Marc VallÃ©e,7.3999999999999995,3
Lars von Trier,7.3999999999999995,3
Michael Haneke,7.3999999999999995,3
Steve James,7.3999999999999995,3
Thomas Vinterberg,7.383333333333333,6
Elia Kazan,7.375,4
Sidney Lumet,7.375,8
John Huston,7.366666666666667,3
Edmund Goulding,7.366666666666667,3
David E. Kelley,7.366666666666667,6
Nicholas Meyer,7.366666666666667,3
Stephen Daldry,7.359999999999999,5
Akiva Goldsman,7.35,4
John Krasinski,7.35,2
Robert Zemeckis,7.34375,16
Michael Moore,7.3375,8
Mark Pellington,7.333333333333333,3
Anthony Minghella,7.333333333333333,3
Byron Howard,7.333333333333333,3
Noah Hawley,7.333333333333333,3
Guillermo del Toro,7.33,10
Paul Greengrass,7.328571428571428,7
Danny Boyle,7.327272727272727,11
Jean-Luc Godard,7.325,4
Chris Sanders,7.325,4
Gore Verbinski,7.322222222222221,9
Jean-Jacques Annaud,7.32,5
Bill Paxton,7.300000000000001,2
Jaume BalaguerÃ³,7.300000000000001,2
Carroll Ballard,7.300000000000001,2
Andrucha Waddington,7.3,2
Jacques Audiard,7.3,5
Abby Epstein,7.3,2
James Gunn,7.3,3
Milo Ventimiglia,7.3,2
Bennett Miller,7.3,3
Howard Hughes,7.3,2
Ben Affleck,7.3,4
Robert Aldrich,7.3,2
Guillaume Canet,7.3,2
Jordan Peele,7.3,2
Mike Leigh,7.3,4
Marco Kreuzpaintner,7.3,2
Chris Williams,7.3,2
Christopher Morris,7.3,2
Catherine Haena Kim,7.3,2
John Musker,7.3,5
Dexter Fletcher,7.3,2
Ron Clements,7.3,5
Sarah Wayne Callies,7.3,2
Martin Ritt,7.3,2
Robin Bissell,7.3,2
Aleksandr Veledinskiy,7.3,2
Yorgos Lanthimos,7.266666666666667,3
Alfred Hitchcock,7.263636363636365,11
Rian Johnson,7.26,5
Derek Cianfrance,7.25,4
Alex Garland,7.25,2
Christophe Lourdelet,7.25,2
Barry Jenkins,7.25,2
Gaspar NoÃ©,7.25,2
Valerie Faris,7.25,2
Jonathan Dayton,7.25,2
Yash Chopra,7.25,2
Terry Gilliam,7.242857142857143,7
Mel Brooks,7.24,5
Jean-Pierre Jeunet,7.24,5
Tom McCarthy,7.233333333333333,3
Simon Curtis,7.233333333333333,3
Richard Linklater,7.233333333333333,12
Jon Hurwitz,7.233333333333333,3
Robert Wise,7.233333333333333,3
Hayden Schlossberg,7.233333333333333,3
Terrence Malick,7.225,4
Kevin Macdonald,7.225,4
Ethan Coen,7.216666666666666,12
Joel Coen,7.216666666666666,12
Wash Westmoreland,7.2,2
Roger Allers,7.2,3
Sam Peckinpah,7.2,8
Andrew Marton,7.2,2
Kathryn Bigelow,7.2,5
Jason Miller,7.2,2
Phil Lord,7.2,4
Henry Hathaway,7.2,2
Ian Brennan,7.2,2
Andrew Adamson,7.2,4
Richard Glatzer,7.2,2
Erik Poppe,7.2,2
Christopher Miller,7.2,4
David Leitch,7.2,3
Travis Knight,7.2,2
J.J. Abrams,7.2,3
Robert Greenwald,7.199999999999999,2
Terry Zwigoff,7.199999999999999,2
James Mangold,7.184615384615385,13
Jonathan Demme,7.18,5
Greg Berlanti,7.175,4
Bruce Beresford,7.175,4
Christopher McQuarrie,7.175,4
Todd Solondz,7.166666666666667,3
Kevin Costner,7.166666666666667,3
Marc Forster,7.155555555555556,9
Anton Corbijn,7.15,2
Ingmar Bergman,7.15,2
Brenda Chapman,7.15,2
Lone Scherfig,7.15,2
Dan Trachtenberg,7.15,2
John Lee Hancock,7.15,4
Tim Robbins,7.15,2
Kar-Wai Wong,7.15,4
King Vidor,7.15,4
Christopher Guest,7.140000000000001,5
Alexander Payne,7.133333333333333,6
Gary Ross,7.133333333333333,3
Carol Reed,7.133333333333333,3
Gus Van Sant,7.128571428571428,7
Craig Gillespie,7.125,4
John McTiernan,7.125,8
Clint Eastwood,7.125,24
Baz Luhrmann,7.116666666666667,6
David Cronenberg,7.1000000000000005,6
Ari Aster,7.1000000000000005,3
Patricia Riggen,7.1000000000000005,3
Michael Jelenic,7.1,4
Stephen Merchant,7.1,2
Eric Bugbee,7.1,2
William Friedkin,7.1,5
Lynne Ramsay,7.1,2
Pierre Leduc,7.1,4
Wayne Kramer,7.1,2
Robinson Devor,7.1,2
Tim Miller,7.1,2
Jeff Nichols,7.1,4
Terry George,7.1,2
Alan Jacobs,7.1,2
Valentine,7.1,2
Alfonso Gomez-Rejon,7.1,2
Jennifer Lee,7.1,2
J.A. Bayona,7.1,4
Ruben Ãstlund,7.1,2
Duncan Jones,7.1,2
Pawel Pawlikowski,7.1,2
Susanne Bier,7.099999999999999,3
Martin Bourboulon,7.099999999999999,3
S. Craig Zahler,7.099999999999999,3
Oliver Stone,7.091666666666666,12
Michael Mann,7.08,5
Alejandro AmenÃ¡bar,7.074999999999999,4
Stephen Frears,7.07,10
Robert Eggers,7.066666666666667,3
Sofia Coppola,7.066666666666666,3
Stephen Chow,7.066666666666666,3
Garth Jennings,7.066666666666666,3
Brian Helgeland,7.06,5
Ridley Scott,7.055,20
Ilya Naishuller,7.050000000000001,2
John Cameron Mitchell,7.050000000000001,2
FranÃ§ois Truffaut,7.050000000000001,2
David MichÃ´d,7.050000000000001,2
Stephanie Savage,7.05,2
Sam Raimi,7.05,10
Anurag Basu,7.05,2
Nick Cassavetes,7.05,4
Prachya Pinkaew,7.05,2
Chris Buck,7.05,4
Sylvester Stallone,7.05,2
Steven S. DeKnight,7.05,2
Jeremy Saulnier,7.05,2
Tom Tykwer,7.040000000000001,5
Mike Flanagan,7.040000000000001,5
Guy Ritchie,7.035714285714286,14
Marielle Heller,7.033333333333334,3
Alan Parker,7.033333333333334,3
Mike Cahill,7.033333333333334,3
Jon Watts,7.033333333333334,3
Franklin J. Schaffner,7.025,4
Aaron Horvath,7.0200000000000005,5
Albert Hughes,7.0200000000000005,5
Aaron Schneider,7.0,2
Jake Barnett,7.0,2
Nadia Tass,7.0,2
Nick Day,7.0,2
Wai-Man Yip,7.0,2
Trey Parker,7.0,3
Juuso Laatio,7.0,2
Paul Barber,7.0,2
Juan JosÃ© Campanella,7.0,3
Paul Verhoeven,7.0,10
Beth Karas,7.0,2
Jukka Vidgren,7.0,2
Michael Barnett,7.0,2
John Hillcoat,7.0,4
David Mackenzie,7.0,3
Robert Carlyle,7.0,2
Maurizio Benazzo,7.0,2
Tate Taylor,7.0,4
Jocelyn Moorhouse,7.0,2
Chris McKay,7.0,3
Mark Addy,7.0,2
Ryan Fleck,7.0,3
Vic Sarin,7.0,2
Kyle Bradstreet,7.0,2
Todd Haynes,7.0,3
Leos Carax,7.0,2
Peter Berg,7.0,8
Edward Zwick,6.990909090909091,11
Jon Favreau,6.985714285714286,7
Jerry Zucker,6.9799999999999995,5
Andrew Niccol,6.975,4
Tim Burton,6.975,16
Denzel Washington,6.975,4
